_id,Year/Année,Name/Nom,Frequency/Fréquence
780,1918,ROSA,22
781,1918,ROSALIE,8
782,1918,ROSE,143
783,1918,ROSELLA,10
784,1918,ROSETTA,12
785,1918,ROSIE,39
786,1918,ROSINA,11
787,1918,RUBY,193
788,1918,RUTH,436
789,1918,SADIE,41
790,1918,SARA,8
791,1918,SARAH,158
792,1918,SELMA,6
793,1918,SHEILA,12
794,1918,SHIRLEY,72
795,1918,SIMONE,9
796,1918,SOPHIA,22
797,1918,SOPHIE,16
798,1918,STELLA,99
799,1918,STEPHANIA,8
800,1918,STEPHANIE,10
801,1918,SUSAN,19
802,1918,SYBIL,12
803,1918,SYLVIA,61
804,1918,TERESA,26
805,1918,THEDA,8
806,1918,THELMA,152
807,1918,THERESA,24
808,1918,THERESE,15
809,1918,THORA,9
810,1918,TOINI,6
811,1918,URSULA,6
812,1918,VALERIE,7
813,1918,VELMA,87
814,1918,VELVA,7
815,1918,VERA,246
816,1918,VERDA,11
817,1918,VERNA,141
818,1918,VERONA,9
819,1918,VERONICA,23
820,1918,VICTORIA,57
821,1918,VICTORY,6
822,1918,VIDA,9
823,1918,VIMY,7
824,1918,VIOLA,113
825,1918,VIOLET,222
826,1918,VIRGINIA,51
827,1918,VIVIAN,57
828,1918,WANDA,8
829,1918,WILDA,8
830,1918,WILHELMINA,10
831,1918,WILLA,8
832,1918,WILLIAM,7
833,1918,WILMA,31
834,1918,WINIFRED,34
835,1918,WINNIE,7
836,1918,WINNIFRED,109
837,1918,YVONNE,25
838,1918,ZELDA,9
839,1918,ZELMA,7
840,1919,ADA,105
841,1919,ADELAIDE,9
842,1919,ADELE,7
843,1919,ADELINE,19
844,1919,AGATHA,11
845,1919,AGNES,205
846,1919,AILEEN,39
847,1919,AILI,6
848,1919,ALBERTA,26
849,1919,ALDA,7
850,1919,ALEDA,7
851,1919,ALICE,340
852,1919,ALINE,6
853,1919,ALMA,95
854,1919,ALVA,6
855,1919,AMANDA,9
856,1919,AMELIA,23
857,1919,AMY,38
858,1919,ANGELA,12
859,1919,ANGELINA,15
860,1919,ANIE,6
861,1919,ANITA,27
862,1919,ANN,30
863,1919,ANNA,239
864,1919,ANNE,44
865,1919,ANNETTA,6
866,1919,ANNETTE,15
867,1919,ANNIE,386
868,1919,ANTOINETTE,10
869,1919,AUDREY,247
870,1919,AUDRY,16
871,1919,AURORE,9
872,1919,BARBARA,113
873,1919,BEATRICE,195
874,1919,BELLA,13
875,1919,BERNADETTE,21
876,1919,BERNICE,90
877,1919,BERTHA,119
878,1919,BERYL,19
879,1919,BESSIE,103
880,1919,BETTY,117
881,1919,BEULAH,29
882,1919,BEVERLEY,14
883,1919,BLANCH,10
884,1919,BLANCHE,55
885,1919,BRIDGET,9
886,1919,CARMEL,12
887,1919,CARMELA,9
888,1919,CARMEN,10
889,1919,CAROLINE,30
890,1919,CARRIE,15
891,1919,CATHARINE,47
892,1919,CATHERINA,7
893,1919,CATHERINE,165
894,1919,CECELIA,16
895,1919,CECILE,44
896,1919,CECILIA,20
897,1919,CELIA,11
898,1919,CHARLOTTE,57
899,1919,CHRISTENA,9
900,1919,CHRISTINA,36
901,1919,CHRISTINE,7
902,1919,CLAIRE,17
903,1919,CLARA,132
904,1919,CLARE,7
905,1919,CLARICE,7
906,1919,CLEO,6
907,1919,CONSTANCE,46
908,1919,CORA,43
909,1919,CORINNE,8
910,1919,DAISY,46
911,1919,DELIA,9
912,1919,DELLA,19
913,1919,DIANA,7
914,1919,DINA,6
915,1919,DONALDA,12
916,1919,DONNA,18
917,1919,DORA,70
918,1919,DORATHY,14
919,1919,DOREEN,38
920,1919,DORIS,514
921,1919,DOROTHEA,18
922,1919,DOROTHY,1053
923,1919,DORRIS,14
924,1919,DORTHA,6
925,1919,DORTHY,50
926,1919,EDITH,371
927,1919,EDNA,311
928,1919,EDYTH,8
929,1919,EDYTHE,26
930,1919,EFFIE,21
931,1919,EILEEN,137
932,1919,ELAINE,15
933,1919,ELEANOR,147
934,1919,ELENA,10
935,1919,ELENOR,11
936,1919,ELEZABETH,9
937,1919,ELINOR,15
938,1919,ELIZA,9
939,1919,ELIZABETH,340
940,1919,ELLA,79
941,1919,ELLEN,125
942,1919,ELMA,26
943,1919,ELSA,8
944,1919,ELSIE,203
945,1919,ELVA,60
946,1919,EMILIA,7
947,1919,EMILY,63
948,1919,EMMA,80
949,1919,ENID,30
950,1919,ERMA,31
951,1919,ESTELLA,9
952,1919,ESTELLE,7
953,1919,ESTER,14
954,1919,ESTHER,68
955,1919,ETHEL,248
956,1919,ETTA,16
957,1919,EUGENIA,7
958,1919,EUGENIE,6
959,1919,EUNICE,31
960,1919,EUPHEMIA,6
961,1919,EVA,193
962,1919,EVELIN,6
963,1919,EVELINE,15
964,1919,EVELYN,326
965,1919,EVELYNE,14
966,1919,EVLYN,7
967,1919,FAITH,6
968,1919,FANNIE,11
969,1919,FANNY,20
970,1919,FAY,7
971,1919,FERN,24
972,1919,FLORA,27
973,1919,FLORANCE,11
974,1919,FLORENCE,476
975,1919,FLORIDA,14
976,1919,FLOSSIE,14
977,1919,FRANCES,279
978,1919,FRANCIS,85
979,1919,FREDA,47
980,1919,FREIDA,6
981,1919,FRIEDA,10
982,1919,GABRIELLE,7
983,1919,GENEVIEVE,20
984,1919,GEORGETTE,7
985,1919,GEORGIA,6
986,1919,GEORGINA,59
987,1919,GERALDINE,51
988,1919,GERMAINE,8
989,1919,GERTIE,8
990,1919,GERTRUDE,222
991,1919,GLADIS,6
992,1919,GLADYS,345
993,1919,GLENNA,6
994,1919,GOLDIE,16
995,1919,GRACE,278
996,1919,GRETA,15
997,1919,GRETTA,6
998,1919,GWENDOLINE,14
999,1919,GWENDOLYN,31
1000,1919,GWENETH,6
1001,1919,HANNAH,20
1002,1919,HARRIET,28
1003,1919,HARRIETT,11
1004,1919,HATTIE,10
1005,1919,HAZEL,263
1006,1919,HELEN,914
1007,1919,HELENA,43
1008,1919,HELENE,15
1009,1919,HELLEN,32
1010,1919,HENRIETTA,21
1011,1919,HESTER,9
1012,1919,HILDA,136
1013,1919,IDA,128
1014,1919,ILA,22
1015,1919,ILEEN,13
1016,1919,ILENE,18
1017,1919,INA,31
1018,1919,INEZ,22
1019,1919,IRENE,293
1020,1919,IRIS,24
1021,1919,IRJA,6
1022,1919,IRMA,27
1023,1919,ISABEL,64
1024,1919,ISABELL,21
1025,1919,ISABELLA,56
1026,1919,ISABELLE,29
1027,1919,ISOBEL,25
1028,1919,IVA,32
1029,1919,IVY,35
1030,1919,J,12
1031,1919,JACQUELINE,6
1032,1919,JANE,46
1033,1919,JANET,73
1034,1919,JANETTE,6
1035,1919,JEA,7
1036,1919,JEAN,535
1037,1919,JEANETTE,23
1038,1919,JEANNE,39
1039,1919,JEANNETTE,16
1040,1919,JEANNIE,7
1041,1919,JENNIE,58
1042,1919,JENNY,8
1043,1919,JESSIE,163
1044,1919,JOAN,58
1045,1919,JOHANNA,10
1046,1919,JOSEPHINE,65
1047,1919,JOY,10
1048,1919,JOYCE,56
1049,1919,JULIA,57
1050,1919,JULIETTE,7
1051,1919,JUNE,68
1052,1919,KATE,10
1053,1919,KATHALEEN,10
1054,1919,KATHARINE,20
1055,1919,KATHELINE,7
1056,1919,KATHERINE,59
1057,1919,KATHLEEN,348
1058,1919,KATHRYN,16
1059,1919,KATIE,12
1060,1919,KEITHA,6
1061,1919,LAURA,152
1062,1919,LAURETTA,9
1063,1919,LAURETTE,9
1064,1919,LAVINA,6
1065,1919,LEA,8
1066,1919,LEAH,15
1067,1919,LEILA,12
1068,1919,LELA,11
1069,1919,LENA,58
1070,1919,LENORA,14
1071,1919,LEOLA,12
1072,1919,LEONA,58
